time/fs 	 energy/h 	 kin energy/h 	 thermostat/h 	 SumE/h 	 T/K 
6.42500000e+02	-1.06789186e+03	6.27218986e-02	-4.92297239e-03	-1067.89678297239	330.1001514355195
6.43000000e+02	-1.06789154e+03	5.82263091e-02	-7.46639970e-04	-1067.89228663997	306.4402366710462
6.43500000e+02	-1.06789140e+03	5.26919192e-02	4.64783502e-03	-1067.88675216498	277.3132015386434
6.44000000e+02	-1.06789150e+03	4.85627318e-02	8.86483223e-03	-1067.8826351677699	255.5816306444288
6.44500000e+02	-1.06789178e+03	4.69421225e-02	1.07448211e-02	-1067.8810351789	247.05249827936018
6.45000000e+02	-1.06789209e+03	4.94961572e-02	8.49273007e-03	-1067.88359726993	260.49417112504744
6.45500000e+02	-1.06789222e+03	6.01025469e-02	-1.98686509e-03	-1067.89420686509	316.31472063491407
6.46000000e+02	-1.06789177e+03	6.90539407e-02	-1.13841520e-02	-1067.9031541519998	363.425163955247
6.46500000e+02	-1.06789058e+03	6.84642929e-02	-1.19606332e-02	-1067.9025406332	360.3218964774092
6.47000000e+02	-1.06788901e+03	6.13787661e-02	-6.42270811e-03	-1067.89543270811	323.03135646049026
6.47500000e+02	-1.06788765e+03	5.37977759e-02	-1.76782080e-04	-1067.8878267820799	283.13323365316836
6.48000000e+02	-1.06788696e+03	4.99922447e-02	2.94553512e-03	-1067.88401446488	263.105038502
6.48500000e+02	-1.06788707e+03	5.03296191e-02	2.70856379e-03	-1067.88436143621	264.8806119941339
6.49000000e+02	-1.06788782e+03	5.35160111e-02	2.49039222e-04	-1067.887570960778	281.65032887468965
6.49500000e+02	-1.06788882e+03	5.72492861e-02	-2.50250451e-03	-1067.8913225045098	301.29824563673805
6.50000000e+02	-1.06788964e+03	5.94132352e-02	-3.86467658e-03	-1067.89350467658	312.6869303155012
6.50500000e+02	-1.06788997e+03	5.94530084e-02	-3.57830005e-03	-1067.89354830005	312.89625336910973
6.51000000e+02	-1.06788975e+03	5.78889224e-02	-2.22449306e-03	-1067.8919744930602	304.6645984450323
6.51500000e+02	-1.06788913e+03	5.57080181e-02	-6.56184152e-04	-1067.889786184152	293.18667995459333
6.52000000e+02	-1.06788833e+03	5.39463173e-02	3.25767223e-04	-1067.888004232777	283.9149947243239
6.52500000e+02	-1.06788761e+03	5.34862465e-02	7.55519980e-05	-1067.887534448002	281.4936802529686
6.53000000e+02	-1.06788715e+03	5.59804435e-02	-2.87279013e-03	-1067.89002279013	294.6204322452946
6.53500000e+02	-1.06788696e+03	6.44103539e-02	-1.14872916e-02	-1067.8984472916	338.9863516728015
6.54000000e+02	-1.06788688e+03	7.33220758e-02	-2.04931678e-02	-1067.9073731678	385.88800507302614
6.54500000e+02	-1.06788659e+03	7.25586010e-02	-2.00347611e-02	-1067.9066247611001	381.8699005079133
6.55000000e+02	-1.06788594e+03	6.18535288e-02	-9.99014725e-03	-1067.8959301472498	325.52999318329404
6.55500000e+02	-1.06788502e+03	5.23509534e-02	-1.41330766e-03	-1067.88643330766	275.51872680610813
6.56000000e+02	-1.06788390e+03	4.91931730e-02	6.20185376e-04	-1067.883279814624	258.89959040388015
6.56500000e+02	-1.06788256e+03	4.93178195e-02	-8.46534230e-04	-1067.88340653423	259.55559459769944
6.57000000e+02	-1.06788096e+03	5.17637326e-02	-4.87495917e-03	-1067.8858349591699	272.42823242802365
6.57500000e+02	-1.06787916e+03	5.59373499e-02	-1.08258925e-02	-1067.8899858925	294.3936342018134
6.58000000e+02	-1.06787732e+03	6.00239125e-02	-1.67263298e-02	-1067.8940463298	315.9008743080741
